id,full_name,nationality_code,company
148,Missy Schwartz,US,Freelance film critic
149,Matt Zoller Seitz,US,New York Magazine
150,Avner Shavit,IL,Walla
151,Catherine Shoard,GB,The Guardian
152,Yael Shuv,IL,Time Out Tel Aviv
153,Matt Singer,US,ScreenCrush
154,Justine A Smith,CA,Freelance film critic
155,Eric D Snider,US,Freelance film critic
156,Soh Jae Yong,KR,Seoul Institute of the Arts
157,Fernanda Solórzano,MX,Letras Libres Magazine
158,David Stratton,AU,The Australian
159,Cédric Succivalli,IT,International Cinephile Society
160,Alin Tasciyan,TR,Star
161,Charles Taylor,US,The Yale Review
162,Ella Taylor,US,NPR.org
163,Stephen Teo,SG,Nanyang Techological University
164,Kristin Thompson,US,University of Wisconsin-Madison
165,Scott Tobias,US,Freelance film critic
166,Peter Travers,US,Rolling Stone
167,Brian Truitt,US,USA Today
168,Rahul Verma,GB,Freelance film critic
169,Wen Tien-Hsiang,TW,Taipei Golden Horse Film Festival
170,Stephen Whitty,US,Freelance film critic
171,Alissa Wilkinson,US,Christianity Today
172,Jake Wilson,AU,Fairfax Media
173,Stephanie Zacharek,US,Time Magazine
174,Chadi Zeneddine,QA,Doha Film Institute
175,Raymond Zhou,CN,China Daily
