"Data Source","World Development Indicators",

"Last Updated Date","2017-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Antigua and Barbuda","ATG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","306603782.184042","319432463.676231","342890213.715961","372361848.028396","387568058.727653","388216472.020933","406378750.24358","446015372.317616","481653390.556256","542916938.925437","587779116.444469","619647321.723094","655418839.251241","672099916.984861","685786802.281716","691603562.952365","728881697.578456","775002576.770672","742632124.397603","792682270.584927","831411470.046477","868057376.874543","903835269.252483","949404558.357049","919078280.221003","945954439.974664","1001894699.00039","1054859062.23616","1119028548.62809","1268714285.47719","1389228751.06647","1390216645.80882","1222889960.98576","1135539037.03704","1115173875.65459","1157968325.10846","1155651315.5793","1208843558.99763","1258732512.55446","",
"Australia","AUS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","198339485481.519","203250230380.739","205948530112.771","218742968008.825","234002816671.944","247996231204.88","253861820860.465","269847640641.964","283590498771.212","303582811815.541","325340262601.242","338383650770.192","351617365438.097","360754643518.771","375534259074.82","380559842325.731","390415060870.821","404498418728.158","408126668189.266","424667406159.704","437625669396.631","452321766151.45","467344710522.62","456920118611.456","478062421303.485","503158214942.179","523795389499.848","537280463636.839","568276378743.165","590318114679.205","611151237193.606","608829575132.503","611258847956.728","636076780968.255","661761221542.539","687431206939.687","714578832666.281","742785701650.777","775752339239.962","814595006334.886","846108898621.915","862433612000.711","895694974590.39","923199964418.399","961506986893.898","992339076659.351","1021939264106.67","1060340245233.55","1099643871866.03","1119653852349.08","1142250506474.06","1169431057881.91","1211913217353.49","1241484494446.53","1272519759757.29","1301024566003.86","",
"Austria","AUT","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","92237791417.649","97345901228.6732","99924277887.9965","104059411885.954","110432378367.145","114275618300.425","120724033067.604","124355469685.655","129917035252.096","138070455810.613","145727882516.556","153181818145.695","162691132450.331","170647437218.543","177374594834.437","176729420132.45","184820880132.45","194209745430.464","193800635761.589","204181954172.185","207717334834.437","207417610198.676","211589305960.265","217880042251.656","217991760794.702","223438674039.735","228580875496.689","231683101986.755","239319099602.649","248621611920.53","259425816026.49","268354285960.265","273972349271.523","275415661589.404","282031472847.682","289556026490.066","296500490066.225","303038384105.96","313826450331.126","325092781456.954","336043231788.08","340581549668.874","346221086092.715","348839059602.649","358277748344.371","365947337748.344","378209615894.04","391906516556.291","397970344370.861","382851152317.881","390235099337.748","401192900662.252","404184821192.053","404686913907.285","407296516556.291","411219019867.55","",
"Azerbaijan","AZE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22325675014.6271","22169395298.4412","17159111873.5004","13195357108.1839","10595871755.3639","9345558792.93588","9467051075.91296","10016140087.9139","11017754124.5694","11833067993.8748","13146538452.8659","14448045759.6996","15979538494.8706","17769246844.1912","19581710093.0734","24751281715.9126","33290473786.6938","41629404406.7868","46113899018.7892","50453518392.5171","52902703376.1056","52937578302.4383","54102205124.8452","57238335961.2495","58383102680.4744","59025316809.9597","",
"Burundi","BDI","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","596608253.670717","514597677.373498","561236477.601625","584445892.538846","621108404.900661","645749176.597434","675537540.239403","768907087.027305","766616638.352635","755427553.105214","916527545.705428","941702987.478465","881396658.482324","942116521.310875","935268845.712752","941796276.24958","1016599961.55636","1133198416.79516","1122539824.57715","1141229606.95514","1152539828.31177","1292726423.68618","1279106260.4105","1326629240.55262","1328692732.80246","1485254991.58896","1533528459.0815","1617920004.19458","1699317953.86504","1722250287.54588","1782525984.41627","1871595892.56201","1890498980.49241","1772531844.12476","1704643874.55341","1569636079.67758","1444065193.28183","1421104556.74908","1488607023.0819","1473572092.20535","1460945582.56049","1490979805.70997","1557276512.30296","1538219684.21923","1612571959.3767","1627085107.05727","1714698065.64965","1796760633.53677","1887463244.56885","1952928499.631","2026864469.36388","2111823040.97987","2196704928.33329","2297622743.75537","2404713060.02967","2310810954.37302","",
"Belgium","BEL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","120563778166.529","126565953104.628","133162575021.964","138957256705.687","148624074968.939","153916072718.723","158773502333.735","164915094716.746","171831847560.27","183223955038.072","194138495629.139","201876520794.702","212567102781.457","226132501986.755","236456034304.636","231807446887.417","244910932715.232","246444454304.636","253448150860.927","259381557086.093","270908613774.835","270152010331.126","271759379470.199","272606841456.954","279330369271.523","283944328344.371","289119958013.245","295788970728.477","309759701721.854","320505782516.556","330561338807.947","336620773774.835","341773275761.589","338485850596.027","349408692450.331","357741241456.954","363442103046.358","376926520794.702","384372747947.02","398068308741.722","412533479602.649","415881783178.808","423285531920.53","426563870860.927","442068514966.887","451327573642.384","462606858675.497","478323895364.238","481898334172.185","470886413642.384","483577483443.709","492265581456.954","492940239602.649","492609157350.993","500752531258.278","508264974966.887","",
"Benin","BEN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1265426252.94345","1305176840.54665","1260456133.07626","1320076060.7892","1407871139.77503","1482401906.79932","1535410564.13499","1551968411.17281","1611600246.49176","1657974010.96677","1692754286.41874","1667416432.2107","1774570740.64173","1840339265.9851","1901793938.89223","1808694555.93412","1824689860.78429","1915626267.4681","1939668871.92687","2066440729.96277","2206581860.81568","2426230120.12225","2480457972.97837","2372612057.3104","2560756386.93725","2753589661.14603","2813373991.71362","2771173298.85902","2865538547.23058","2783751478.01027","3033624750.94295","3161819648.03392","3255337130.07533","3445324207.02456","3514933552.72687","3727418268.32545","3888602421.28731","4111601652.35799","4274462692.87475","4502780953.5408","4766643561.74839","5020725247.66353","5253911326.86299","5434858389.27325","5675602453.88051","5772744795.73959","6000595826.41589","6359822426.97484","6671033590.82541","6825749997.99683","6970240895.49888","7176751732.08258","7521973830.26825","8063036667.99131","8575645913.59089","8755259213.87036","",
"Burkina Faso","BFA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1154610128.13957","1201301730.13129","1274927095.92884","1258760811.61336","1287496045.39471","1335964418.29675","1343146737.79514","1461656805.04877","1506540981.27719","1537064722.46854","1538863389.62605","1560612759.64011","1596686303.93493","1603860653.06998","1736763386.96585","1788838203.20778","1941513665.02631","1948704129.96394","2038497006.14278","2113200205.94793","2130039851.9196","2220679510.04244","2433025251.15419","2441443147.23606","2398017278.87231","2602265163.16545","2809284796.04054","2802645422.42978","2965075343.36048","3028832388.17054","3010570695.09049","3283628989.31764","3291270347.37775","3405193883.35663","3449972430.55327","3647185752.98499","4048913922.11068","4304677123.13217","4619250858.4028","4957946384.49841","5051575545.71093","5385656420.52727","5620094277.3321","6058598755.33898","6329931546.52591","6878221456.76875","7308327553.74464","7608800791.40298","8050111622.69787","8288546127.42478","8988623686.33791","9584288488.68769","10202731452.381","10785180291.8176","11219859391.5075","11671015481.2691","",
"Bangladesh","BGD","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","17862545310.7226","18944687033.1706","19977746684.2347","19886669277.8428","22064814112.6956","22419232005.0757","22994691542.7769","22563342420.6917","24704480424.0584","25006087027.2168","26411392182.3557","24964184430.4711","21475757025.4792","22189972024.4145","24318424444.0714","23324235189.0411","24644704390.5094","25303471152.2294","27093397642.2551","28394323597.912","28626913390.8931","30697768187.1802","31352959198.5596","32569782092.7714","34134209697.98","35274979988.1662","36747139850.6845","38133389635.1624","39054790276.5184","40162611478.0515","42420657179.7908","43899113723.2774","46288404442.7889","48469311189.3945","50354828679.5772","52933639390.898","55327785139.4964","57811945426.5395","60804885377.3372","63644568604.0114","67013463192.5145","70415929567.4442","73115059421.307","76580396941.519","80592852042.2251","85860356477.7026","91588846353.8372","98053769823.2911","103950517391.466","109194950718.059","115279077465.226","122731159566.449","130734992458.51","138596866823.802","146997351891.58","156629549345.307","",
"Bulgaria","BGR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","28567898146.9848","29967771396.1387","30667388675.8994","31719373922.908","32796704575.6997","33676784707.6526","35093769776.0095","37218526923.6436","41291980086.2505","39933522637.8896","36292632791.0639","33227591026.6062","30811151715.1596","30355080478.4888","30906939253.716","31790936266.938","32299591235.2962","31944295760.0686","33062346058.1987","31207548452.1041","32771342925.1612","34163477849.7148","36219477716.4549","38058529754.9607","40553481999.7745","43488010218.2093","46424813785.3817","49988081046.8084","52810910665.6526","50582434409.9591","50610031135.7791","51579222347.1984","51595182819.3635","52039981143.4083","52731514288.3384","54639046566.9725","",
