id,company,first_name,last_name,nationality_code
141,Time Out New York,Joshua,Rothkopf,US
142,Asharq Al-Awsat,Mohammed,Rouda,LB
143,Uproxx,Mike,Ryan,US
144,The Indian Express,Alaka,Sahani,IN
145,Independent curator/film programmer,Rasha,Salti,LB
146,Freelance film critic,Eric,Sasono,ID
147,Variety,Nick,Schager,US
148,Freelance film critic,Missy,Schwartz,US
149,New York Magazine,Matt Zoller,Seitz,US
150,Walla,Avner,Shavit,IL
151,The Guardian,Catherine,Shoard,GB
152,Time Out Tel Aviv,Yael,Shuv,IL
153,ScreenCrush,Matt,Singer,US
154,Freelance film critic,Justine A,Smith,CA
155,Freelance film critic,Eric D,Snider,US
156,Seoul Institute of the Arts,Soh Jae,Yong,KR
157,Letras Libres Magazine,Fernanda,Solórzano,MX
158,The Australian,David,Stratton,AU
159,International Cinephile Society,Cédric,Succivalli,IT
160,Star,Alin,Tasciyan,TR
161,The Yale Review,Charles,Taylor,US
162,NPR.org,Ella,Taylor,US
163,Nanyang Techological University,Stephen,Teo,SG
164,University of Wisconsin-Madison,Kristin,Thompson,US
165,Freelance film critic,Scott,Tobias,US
166,Rolling Stone,Peter,Travers,US
167,USA Today,Brian,Truitt,US
168,Freelance film critic,Rahul,Verma,GB
169,Taipei Golden Horse Film Festival,Wen,Tien-Hsiang,TW
170,Freelance film critic,Stephen,Whitty,US
171,Christianity Today,Alissa,Wilkinson,US
172,Fairfax Media,Jake,Wilson,AU
173,Time Magazine,Stephanie,Zacharek,US
174,Doha Film Institute,Chadi,Zeneddine,QA
175,China Daily,Raymond,Zhou,CN
